Accum,vanilla,vanilla-wp44-owc,vanilla-wp44,vanilla-wp44-owc-2,vanilla-wp44-issue-15-2,vanilla-wp44-issue-15-3
0.13,0.18808777429467,0,0,0,0,0
0.14,1.3166144200627,0,0,0,0,0
0.15,2.5705329153605,0,0,0,0,0
0.16,3.2601880877743,0,0,0,0,0
0.17,3.5109717868339,0,0,0,0,0
0.18,3.7617554858934,0,0,0,0.063171193935565,0.18963337547408
0.19,4.5141065830721,1.0955569080949,0,0.67484662576687,1.3897662665824,1.6434892541087
0.20,4.7021943573668,3.164942178941,0,1.6564417177914,3.1585596967783,3.0341340075853
0.21,4.8275862068966,3.3475349969568,0,2.2699386503067,3.4112444725205,3.6030341340076
0.22,4.9529780564263,3.5301278149726,0,2.3312883435583,3.6639292482628,3.6030341340076
0.23,5.0156739811912,3.8344491783323,0,2.5153374233129,4.1692987997473,4.2351453855879
0.24,5.0783699059561,4.6865489957395,0,2.8220858895706,4.801010739103,4.8040455120101
0.26,5.141065830721,4.8082775410834,0,2.8834355828221,4.801010739103,4.8040455120101
0.27,5.141065830721,5.0517346317711,0,2.8834355828221,4.8641819330385,4.8040455120101
0.28,5.8307210031348,5.4169202678028,0,3.0061349693252,4.8641819330385,4.8040455120101
0.29,6.269592476489,5.4777845404747,0,3.1288343558282,4.8641819330385,4.8040455120101
0.30,7.0219435736677,5.5995130858186,0,3.2515337423313,4.8641819330385,4.8040455120101
0.31,9.5924764890282,6.3907486305539,0.18427518427518,3.6196319018405,4.8641819330385,4.8040455120101
0.32,12.351097178683,6.8776628119294,0.49140049140049,4.0490797546012,4.8641819330385,4.8040455120101
0.33,13.981191222571,7.6688983566646,0.55282555282555,4.1717791411043,4.9905243209097,4.9936788874842
0.34,14.858934169279,9.7382836275107,0.73710073710074,4.9079754601227,6.6329753632344,6.0050568900126
0.35,15.924764890282,10.164333536214,0.85995085995086,5.6441717791411,7.5173720783323,7.1428571428571
0.36,17.680250783699,10.712111990262,0.92137592137592,6.8711656441718,9.4125078963992,8.5967130214918
0.37,18.432601880878,13.998782714547,1.3513513513514,9.8773006134969,12.697409981049,12.958280657396
0.38,19.310344827586,18.867924528302,2.0884520884521,13.251533742331,16.866708780796,18.773704171934
0.39,19.937304075235,20.146074254413,2.4570024570025,15.460122699387,21.415034744157,21.80783817952
0.40,21.191222570533,21.180766889836,2.8255528255528,17.60736196319,24.889450410613,25.410872313527
0.41,22.633228840125,22.641509433962,3.1326781326781,20.061349693252,28.553379658876,30.214917825537
0.42,24.764890282132,25.319537431528,3.4398034398034,23.251533742331,33.101705622236,35.777496839444
0.43,27.335423197492,27.875836883749,3.8083538083538,26.073619631902,37.902716361339,40.644753476612
0.44,29.905956112853,31.04077906269,3.992628992629,28.957055214724,42.387871130764,45.069532237674
0.45,33.040752351097,34.327449786975,4.4226044226044,30.920245398773,45.86228679722,48.103666245259
0.46,35.611285266458,37.3097991479,4.7297297297297,32.576687116564,48.957675300063,51.201011378003
0.47,37.868338557994,39.80523432745,5.036855036855,33.926380368098,51.295009475679,53.603034134008
0.48,40,42.604990870359,5.2211302211302,34.846625766871,53.632343651295,55.43615676359
0.49,41.880877742947,46.987218502739,5.7125307125307,36.748466257669,56.222362602653,59.228824273072
0.50,43.636363636364,52.282410225198,6.3267813267813,38.895705521472,59.759949463045,62.705436156764
0.51,45.76802507837,56.482045039562,6.6339066339066,40.920245398773,64.371446620341,66.182048040455
0.52,48.401253918495,60.073037127206,6.9410319410319,42.515337423313,66.708780795957,68.836915297092
0.53,50.407523510972,63.359707851491,7.1253071253071,43.742331288344,68.477574226153,70.606826801517
0.54,52.476489028213,65.855143031041,7.4938574938575,45.276073619632,71.320277953253,72.819216182048
0.55,54.420062695925,68.107121119903,7.6167076167076,46.503067484663,72.457359444093,74.462705436157
0.56,57.617554858934,69.628727936701,7.8624078624079,47.177914110429,73.78395451674,75.158027812895
0.57,59.435736677116,71.576384662203,8.1695331695332,47.791411042945,75.300063171194,76.169405815424
0.58,60.940438871473,73.097991479002,8.2923832923833,48.588957055215,76.058117498421,76.738305941846
0.59,62.194357366771,74.741326841144,8.8452088452088,48.773006134969,76.563487049905,77.24399494311
0.60,63.636363636364,75.471698113208,9.1523341523342,49.386503067485,77.195198989261,77.939317319848
0.61,64.952978056426,76.202069385271,9.3980343980344,50.245398773006,78.332280480101,78.697850821745
0.62,66.457680250784,76.871576384662,9.6437346437346,50.674846625767,78.77447883765,79.140328697851
0.63,67.398119122257,77.358490566038,9.95085995086,51.349693251534,79.406190777006,79.646017699115
0.64,68.401253918495,77.784540474741,10.380835380835,52.208588957055,79.785217940619,80.404551201011
0.65,68.777429467085,78.514911746805,10.44226044226,53.006134969325,80.922299431459,81.289506953224
0.66,69.717868338558,78.880097382836,10.626535626536,53.742331288344,81.61718256475,82.04804045512
0.67,70.407523510972,79.245283018868,10.749385749386,54.969325153374,82.312065698042,82.36409608091
0.68,71.28526645768,79.6104686549,11.117936117936,55.644171779141,82.691092861655,83.059418457649
0.69,71.912225705329,80.219111381619,11.486486486486,56.38036809816,83.070120025268,83.691529709229
0.70,73.166144200627,80.584297017651,11.547911547912,57.177914110429,83.512318382817,84.007585335019
0.71,73.918495297806,80.88861838101,11.732186732187,58.343558282209,84.144030322173,84.323640960809
0.72,74.858934169279,81.19293974437,11.977886977887,58.957055214724,84.459886291851,84.892541087231
0.73,75.799373040752,82.471089470481,12.285012285012,59.877300613497,84.712571067593,85.58786346397
